Rank,Title,Artist,Genre,Lyrics
21,Bed Chem,Sabrina Carpenter,"['Soul Pop', 'Dance', 'Dance-Pop', 'Contemporary R&B', 'Synth-Pop', 'Alternative R&B', 'Alternative Pop', 'Funk', 'Funk-Pop', 'Bubblegum Pop', 'Pop-R&B', 'R&B', 'Singer-Songwriter', 'In English', 'USA', 'Pop']",sheer dress day met rush talk friend hit connect odd send manifest overs digress scrollin breath goin prechoru ooh cute boy white jacket accent ooh head bеt bеd chem pick pull em sens talk sweet doin bad bed bed chem chem lookin yeah obsess week bet sabrina carpent liveget ticket likevers camaraderi time zone wanna art uponeth mind fulfil propheci prechoru ooh cute guy wide blue eye bad ooh sound bit redund bet bed chem pick pull em sens sens talk sweet doin bad bad bed chem bed chem lookin yeah obsess obsess week bet bed chem bridg bet arriv time bed chem bet thermostat set sixnin bedb chchem bet head pick pull em ooh sens sens talk sweet doin bad bed chem bed chem lookin yeah obsess obsess week week bet outro ha ha nonono ha ha nonono ha ha yeah yeah nonono ha ha ooh babi fadeoutemb
22,Austin,Dasha,"['Country Pop', 'In English', 'USA', 'Country']",plan town babi west sand talk pack car bring guitar jane smokin dawn queue song goin wait porch ya sat morn hunch gut snuck can damn shit pack boot workin truck break truck break burn money damn lost goodby caus whiskey flowin fight fight nerv alibi alibi forgotten drunk wash austin bluff believin month plan leavin happen bad habit batshit love tragic ohoh likechoru boot workin truck break truck break burn money damn lost goodby caus whiskey flowin fight fight nerv alibi alibi forgotten drunk wash austin refrain truck break outemb
23,Pink Skies,Zach Bryan,"['Adult Alternative', 'Alternative Country', 'Folk', 'Red Dirt', 'Americana', 'Singer-Songwriter', 'USA', 'In English', 'Country']",kid town funer pack car dri eye plenti blood left em plenti night pink sky taught em enjoy clean hous drawer mop floor stand tall mention inch scrape doorfram tipto em they yuppiе funer beauti bet god hеard comin kid town funer grass smell day broke arm swingin kid river bail jesu livin em they yuppi funer beauti bet god heard comin zach bryan liveget ticket likeinterlud strum em they yuppi funer beauti bet god heard comin outro kid town funer pack car dri eye plenti blood left em plenti night pink sky taught em enjoyemb
24,The Door,Teddy Swims,"['Adult Alternative', 'Soul', 'Alternative R&B', 'R&B', 'Soul Pop', 'USA', 'In English', 'Pop']",favorit book sold lie taught languag speak babi dug grave watchin flew ooh time chanc babi prechoru thinkin late night runnin friend pickin piec soul floor die babi pain willin tonight save life door wanna lose babi play gamе kill tonight save lifе door teddi swim liveget ticket likevers day look eye pull rug saniti babi prechoru thinkin late night runnin friend pickin piec soul floor die babi pain willin tonight save life door wanna lose babi game kill tonight save life door postchoru door door tonight save life die babi pain willin tonight save life door wanna lose babi wanna lose babi game kill kill tonight save life door outro mmmmmm woah ohemb
25,Who,Jimin,"['K-Pop (케이팝)', 'In English', 'South Korea (대한민국)', 'Genius Korea', 'Pop']",met night met mind wanna heart wait day yeah day life prechoru peopl peopl love nevеr met night nevеr met mind wanna heart wait count likeprechoru peopl peopl love met night met mind wanna heart wait day mile wanna heart wait bridg heart heart wait heart heart wait heart heart wait heart wait met night met mind wanna heart wait day mile wanna heart wait foremb
26,Kehlani,Jordan Adetunji,"['UK Drill', 'UK Rap', 'UK', 'Ireland', 'In English', 'Irish Rap', 'Irish Drill', 'Northern Ireland', 'Drill', 'Rap']",summer walker wock potenti potenti jordan adetunji bodi obviou confid karma likelik kehlani uhhuh bad kehlani uhhuh parti uhhuh parti bout bout start uh uh water tyla uh romani rebecca serena selena start choir uh bag inspir huh jordan adetunj ima add ima givе band ima add avenuе bad bad babi savag disrespect gladli shoot uhhuh play care addict jordan adetunj bodi obviou confid karma likelik kehlani uhhuh bad kehlani uhhuh parti uhhuh parti bout bout start uh uh uhhuh water tyla uh uhhuh romani rebecca serena selena start choir uh bag inspir huh likevers jordan adetunj babi movi movi seduc uhhuh choosi uh clap fast play bout jordan adetunj bodi obviou confid karma likelik kehlani uhhuh bad kehlani uhhuh parti uhhuh parti bout bout start uh uh water tyla uh romani rebecca serena selena start choir uh bag inspir huh outro summer walker youemb
27,Stargazing,Myles Smith,"['Pop-Rock', 'Folk Pop', 'Singer-Songwriter', 'UK Pop', 'UK', 'In English', 'Folk', 'Pop']",oohooh oohooh oohooh time stood photograph feel lookin eye life prechoru promis hold close hey heart break love bone time wast stargazin intertwinin soul stranger therе lose mind alivе feel lost wanna likeprechoru promis hold close hey heart break love bone time wast stargazin intertwinin soul stranger bridg oohooh oohooh oohooh oohooh oohooh oohooh heart break love bone time wast alongemb
28,Wildflower,Billie Eilish,"['Folk', 'Slowcore', 'R&B', 'Alternative R&B', 'Chillout', 'Lounge', 'Pop', 'Ballad', 'Folk Pop', 'Acoustic', 'Alternative Pop', 'Alternative', 'USA', 'In English']",fall time break heart girl fell love prechoru cryin shoulder hold closer juli love remind mind time fever burn aliv sign cross hmm life move fast life move fast happi leather happi billi eilish liveget ticket likeprechoru love love remind remind wanna babi mind mind time time feel fever fever burn aliv burn aliv sign cross bridg time touch valentin day cryin hotel hurt mind eye outro time touch valentin day cryin hotel hurt myselfemb
29,Pour Me A Drink,Post Malone Featuring Blake Shelton,"['Duet', 'USA', 'In English', 'Country Pop', 'Pop', 'Country']",post malon hour goin mind dalla drop game overtim caught ticket speedin goin blake shelton guess mess babi goner tulsa wind judgin stonesob crack wide post malon pour drink bum smoke bout buzz bout roll yeah breakin keepin jones yall yall friday paid slide hear callin hey postchoru post malon pour drink pour drink post malon blake shelton bourbonbrown eye tryna drunk stoppin bottl job hey mightv futur love buddi post malon liveget ticket likechoru blake shelton pour drink bum smoke bout buzz bout roll yeah breakin keepin jones yall yeah yall friday paid slide hear callin hey postchoru blake shelton pour drink pour drink bridg post malon ooh ooh ooh post malon blake shelton pour drink bum smoke bout buzz bout roll yeah breakin keepin jones yall yeah yall friday paid slide hear callin hey postchoru post malon blake shelton pour drink pour drink yeah pour drink outro post malon blake shelton hey sir pour drink buddi pour drinkemb
30,You Look Like You Love Me,Ella Langley Featuring Riley Green,['Pop'],ella langley twentytwo time road lone night huh mind walk cowboy hat boot glass sawdust floor huh move nothin walk pull hand beer look eye babi gonna wanna hear told ella langley excus love babi blame lookin drunk readi leavе love riley green wеll local beer joint guy cute countri girl caught eye boy prettiest pair boot walk hand beer outta realiz cowboy dream true told likechoru ella langley riley green ella langley excus love babi blame lookin drunk readi leav love alright instrument break bridg ella langley cowboy hat wast time ella langley ella langley riley green excus love babi blame lookin drunk readi leav love drunk readi leav love meemb
